SMILES,N,TTR binding activity,UNIT {TTR binding activity}
CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O,1003,102.5,% 
CCOP(=S)(OCC)OC1=NN(C(C)C)C(Cl)=N1,1006,75.6,% 
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,1007,-7.8,% 
CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,1008,12.6,% 
CCC(=O)O[C@@H]1CC2CC[C@]1(C)C2(C)C,1009,10.6,% 
COC1=CC(C=CC)=CC=C1O,1010,88.8,% 
NNC(=O)C1=CC=NC=C1,1011,76.8,% 
CC(C)CCCCCCCCCCCCCCC(O)=O,1012,103.9,% 
CC(C)CCCCCOC(=O)C=C,1013,19.9,% 
CC(C)OC(C)=O,1019,11.2,% 
CC(C)OC=O,1020,13,% 
CCCCCCCCCCCCCC(=O)OC(C)C,1022,7.8,% 
CC(C)C1=CC=C(C)C(O)=C1,1023,80.5,% 
CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1,1024,79.6,% 
CO\N=C(\C(=O)OC)C1=C(COC2=C(C)C=CC=C2)C=CC=C1,1027,94,% 
O[C@H]([C@@H](O)C(O)=O)C(O)=O,1029,19,% 
CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O,1031,51.8,% 
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,1032,7.2,% 
CC1(C)[C@H](\C=C(/Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,1033,57.4,% 
CC(C)=CCC[C@](C)(O)[C@H]1CCC(C)=CC1,1035,41,% 
CC[C@]12CCC3C(CCC4=CC(=O)CCC34)C1CC[C@@]2(O)C#C,1036,18,% 
CC(C)=CCCC(C)(O)C=C,1038,13,% 
CC(C)=CCCC(C)(OC(C)=O)C=C,1039,15.4,% 
CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,1040,74.5,% 
CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,1041,60.2,% 
CC1=CC(O)=CC=C1,1042,30.6,% 
CC1=CC(C)=CC=C1,1043,34.2,% 
[Mg++].[O-]C(=O)C1=CC=CC=C1.[O-]C(=O)C1=CC=CC=C1,1044,25,% 
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1045,75,% 
OC(=O)\C=C/C(O)=O,1046,11.5,% 
O=C1NNC(=O)C=C1,1047,11.9,% 
OC(CC(O)=O)C(O)=O,1048,-18.7,% 
[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S,1049,64.1,% 
[Mn++].[S-]C(=S)NCCNC([S-])=S,1050,37.4,% 
CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,1051,99,% 
CC(C)OC1=CC=CC(NC(=O)C2=C(C)C=CC=C2)=C1,1054,59.8,% 
CC[C@@H]([C@@H](CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1056,102,% 
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O,1057,75.8,% 
COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C,1059,19.9,% 
CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,1062,31.7,% 
CC(=C)C(N)=O,1063,9.2,% 
CC(=C)C#N,1064,3.5,% 
Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1065,-4.6,% 
COP(N)(=O)SC,1066,17.4,% 
[H]C1([H])N2C([H])([H])N3C([H])([H])N1C([H])([H])N(C2([H])[H])C3([H])[H],1067,21.7,% 
COC1=NN(CSP(=S)(OC)OC)C(=O)S1,1068,73.9,% 
CN1C=CNC1=S,1069,60.3,% 
CNC(=O)ON=C(C)SC,1070,19.4,% 
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,1071,23.8,% 
COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,1072,86,% 
COC(=O)C1=C(O)C(C)=C(O)C=C1C,1074,96.9,% 
CCCCCCCCCC(=O)OC,1076,20.2,% 
CCCCCC1C(CC(=O)OC)CCC1=O,1077,20.9,% 
CCCCCCCCCCCC(=O)OC,1078,32.1,% 
CCCCCCCC(=O)OC,1082,15.7,% 
COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,1083,92.6,% 
CN(C)C1=CC=C(C=C1)\N=N\C1=C(C=CC=C1)C(O)=O,1084,109.1,% 
COC(=O)C1=C(O)C=CC=C1,1085,33.2,% 
CC(=O)\C=C\C1=CC=CC=C1,1086,27.3,% 
[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1,1088,49.3,% 
COC1=CC=C(CC=C)C=C1OC,1089,59.5,% 
CCC(=O)\C=C\C1C(C)=CCCC1(C)C,1090,49.8,% 
COC(=O)C1=CC=C(O)C=C1,1091,51.5,% 
CSC1=NN=C(C(=O)N1N)C(C)(C)C,1093,10.7,% 
ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,1096,17.6,% 
[Na+].[Na+].CCCCC1=NC2=C(C=C1)[C@@H]([C@H]([C@@H]2C1=CC=C(OC)C=C1C[C@H](C)C([O-])=O)C([O-])=O)C1=CC2=C(OCO2)C=C1,1097,69.3,% 
CCN1N=C(CC2=CC=CC=C2)C=C1C1CCN(C[C@H]2C[C@@H](C[C@@H]2C2=CC=CC(F)=C2)N(C)[C@H](C(C)C)C(O)=O)CC1,1098,9.6,% 
OC(=O)CCC([O-])=O.CO[C@@H]1COCC[C@@H]1[NH2+][C@@H]1CC[C@](C1)(C(C)C)C(=O)N1CCC2=C(C1)C=C(C=N2)C(F)(F)F,1099,20.9,% 
CCSC(=O)N1CCCCCC1,1101,11.8,% 
ClC(Cl)C(=O)N1CCOC11CCCCC1,1102,10.5,% 
CNC(=O)\C=C(/C)OP(=O)(OC)OC,1105,8,% 
COC(=O)C1=C(C=CC=C1)C(O)=O,1106,16,% 
[K+].OC(=O)C1=C(C=CC=C1)C([O-])=O,1107,84.3,% 
CCCCCCCCCCCCCOP(O)(O)=O,1108,104.9,% 
CN(C)C(=O)NC1=CC=C(Cl)C=C1,1109,12.9,% 
C1COCCN1,1110,-2.4,% 
CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,1113,58,% 
FC(C(F)(F)F)C(F)(F)OC1=CC(Cl)=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl,1115,86.4,% 
CCCCNS(=O)(=O)C1=CC=CC=C1,1118,17.8,% 
CCCCCCCCCCCC(=O)N(C)CC(O)=O,1119,85.9,% 
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1121,94.7,% 
CN1CCCC1=O,1122,7.9,% 
CNC(C)=O,1123,20.5,% 
CN(N=O)C(N)=O,1127,0.8,% 
CCCN(CCC)N=O,1128,8.9,% 
CCN(CC)N=O,1129,7.3,% 
CN(C)N=O,1130,-12.8,% 
O=NN(C1=CC=CC=C1)C1=CC=CC=C1,1131,86.7,% 
NC1=CC=C(NC2=CC=CC=C2)C=C1,1133,90.1,% 
CCN(CC)CCO,1135,12.7,% 
CCCCCCCCCC[N+](C)(C)[O-],1140,9.3,% 
CCCCCCCC(=O)N(C)C,1142,13,% 
ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,1144,-4.8,% 
CCCCNC(=S)NCCCC,1145,20,% 
CCNC(=S)NCC,1146,5.4,% 
C=CC(=O)NCNC(=O)C=C,1148,50.3,% 
C1=CC2=CC=CC=C2C=C1,1150,34.8,% 
COC1=CC(OC)=C(C=C1)S(=O)(=O)N1C(=O)[C@@](N2C[C@H](O)C[C@H]2C(=O)N(C)C)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1OC,1151,21.8,% 
CCC(C)(CCC(C)C)C(O)=O,1152,38,% 
CC(C)=CCCC(C)=CCCC(C)(O)C=C,1153,75.4,% 
COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1,1155,17.7,% 
OC(=O)C1=CC=CN=C1,1156,9.9,% 
ClC1=CC=CC(=N1)C(Cl)(Cl)Cl,1157,76,% 
OC(=O)CN(CC(O)=O)CC(O)=O,1158,2.5,% 
[O-][N+](=O)C1=CC=CC=C1,1159,56.1,% 
[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1,1161,68.4,% 
CCCCCCCCC,1163,3.2,% 
OC(=O)CCCCCCCC(O)=O,1164,20.8,% 
CCCCCCCCC(O)=O,1165,94,% 
CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,1166,108.6,% 
C[C@]12CCC3C(CCC4=CC(=O)CCC34)C1CC[C@@]2(O)C#C,1167,15.8,% 
CNC1=C(Cl)C(=O)N(N=C1)C1=CC=CC(=C1)C(F)(F)F,1168,48,% 
CC1=CC=CC=C1\N=N\C1=CC(C)=C(N)C=C1,1171,111,% 
CC1=C(O)C=CC=C1,1172,47.4,% 
ClC1=CC=C(C=C1)C(C1=CC=CC=C1Cl)C(Cl)(Cl)Cl,1174,22.5,% 
CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,1175,92.7,% 
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1177,-1.3,% 
CCCCCCCC=O,1179,-4.9,% 
CCCCCCCC(O)=O,1180,80.5,% 
CCCCCCCCN1SC=CC1=O,1181,40.3,% 
CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1,1182,49.2,% 
CCCCCCCCOC(C)=O,1183,15,% 
CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,1185,28,% 
CCCCCCCCOC(=O)C1=CC=C(O)C=C1,1187,96.7,% 
CCCCCCCC\C=C/CCCCCCCC(O)=O,1188,98.2,% 
OC(=O)C(O)=O,1191,18.5,% 
CNC(=O)O\N=C(/SC)C(=O)N(C)C,1192,23.9,% 
OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,1193,23.5,% 
CCOC1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O,1194,59.8,% 
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,1199,19.9,% 
[Cl:1][C:2]([Cl:3])=[C:4]([C:5]1=[CH:11][CH:10]=[C:8]([Cl:9])[CH:7]=[CH:6]1)[C:12]1=[CH:18][CH:17]=[C:15]([Cl:16])[CH:14]=[CH:13]1,1200,23.8,% 
CC(C)(C)[C@@H](O)[C@@H](CC1=CC=C(Cl)C=C1)N1C=NC=N1,1201,30.4,% 
CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,1202,98.8,% 
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,1203,84.1,% 
CCC(CC)NC1=C(C=C(C)C(C)=C1[N+]([O-])=O)[N+]([O-])=O,1205,105,% 
COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,1206,26.5,% 
[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,1207,69.7,% 
CCCCCCCCCCCCCCC,1209,4.7,% 
[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,1212,-0.8,% 
CCCCC=O,1213,1.2,% 
O=C(OCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,1214,16.3,% 
CCCCC(O)=O,1215,26.3,% 
CCCCCOC(C)=O,1216,38.3,% 
CC(C)C1CCC(C)CC1O.CC(C)C1CCC(C)CC1=O.CC1COC11CCC(C)CC1.CC1CCC2=C(C1)OC=C2C.CC1CCC(=C(C)C)C(=O)C1.CC(C)C1CCC(C)CC1OC(C)=O,1217,37.8,% 
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1218,102.9,% 
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1219,102.2,% 
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1220,96.4,% 
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1221,104.7,% 
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1222,103.1,% 
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1223,104.9,% 
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1224,103.5,% 
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1225,101.4,% 
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1,1226,30.4,% 
[Na+].COC1=CC=C(\C=C\S(=O)(=O)[N-]C(=O)C2=CC=C(C)C=C2Cl)C=C1,1229,88.8,% 
COC(=O)NC1=CC(OC(=O)NC2=CC=CC(C)=C2)=CC=C1,1232,40.7,% 
[Na+].CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1,1233,7.1,% 
OC1=CC=CC=C1,1234,11.1,% 
OC1=CC=C(C=C1)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,1235,103.1,% 
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,1236,100.2,% 
OC(=O)C1=C(C=CC=C1)C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1237,97.3,% 
OC1=CC=CC=C1S(O)(=O)=O,1238,19.1,% 
ClP(Cl)C1=CC=CC=C1,1241,11.2,% 
OC1=C(C=CC=C1)C(=O)OC1=CC=CC=C1,1242,96,% 
O=CCC1=CC=CC=C1,1243,55.8,% 
CC(=O)O[Hg]C1=CC=CC=C1,1244,4.2,% 
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,1245,105.3,% 
CCOP(=S)(OCC)SCSCC,1246,79.7,% 
CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12,1247,40.2,% 
COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,1248,55.7,% 
OP(O)(O)=O,1249,14.6,% 
CCOP(=S)(OCC)O\N=C(/C#N)C1=CC=CC=C1,1250,99.2,% 
O=C1NC(=O)C2=C1C=CC=C2,1251,15.9,% 
NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl,1252,55.1,% 
Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,1253,88.7,% 
CS(=O)(=O)C1=CC=C(C=C1Cl)[C@@H](C[C@H]1CCC(=O)C1)C(=O)NC1=NC=CN=C1,1256,8.9,% 
CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C,1257,23.3,% 
C1CO1.CC1CO1,1259,13.7,% 
CCCCCCCC\C=C/CCCCCCCC(=O)OCCO,1260,53.8,% 
C[Si](C)=O,1261,77.8,% 
CC(O)COC(C)CO,1262,8.9,% 
[K+].[O-][Cl](=O)=O,1265,4.8,% 
[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1267,99.4,% 
[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1268,102.4,% 
[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1269,104.3,% 
[Na+].CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12,1270,1.1,% 
CC(=O)[C@H]1[C@@H](CC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C)C#N,1272,-24.9,% 
CC12CC1(C)C(=O)N(C2=O)C1=CC(Cl)=CC(Cl)=C1,1274,54.3,% 
CCCSP(=O)(OCC)OC1=C(Cl)C=C(Br)C=C1,1276,97.1,% 
CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C,1277,16.5,% 
Cl.CCCOC(=O)NCCCN(C)C,1280,19.7,% 
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,1281,50.1,% 
CCNP(=S)(OC)O\C(C)=C\C(=O)OC(C)C,1282,74.6,% 
CC(C)C1=CC=CC(C(C)C)=C1O,1284,65.9,% 
CNC(=O)OC1=CC=CC=C1OC(C)C,1285,15.2,% 
CC1COC(=O)O1,1288,11.4,% 
CCCOC(=O)C1=CC=C(O)C=C1,1289,96.8,% 
CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C,1290,64.8,% 
CC1=NNC(=O)N(C1)\N=C\C1=CC=CN=C1,1291,3.1,% 
OC(=O)C1=NN(C(=O)C1)C1=CC=C(C=C1)S(O)(=O)=O,1293,36.9,% 
CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,1296,43.6,% 
CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,1298,44.7,% 
[Na+].COC1=CC(OC)=NC(SC2=C(C([O-])=O)C(Cl)=CC=C2)=N1,1299,66.3,% 
OC(=O)C1=C(Cl)C=CC2=CC(Cl)=CN=C12,1300,18.7,% 
C1=CC2=C(C=C1)N=CC=C2,1301,34.3,% 
CC(=C)[C@@H]1CC=C(C)C(=O)C1,1303,24,% 
Cl.CCNC1=CC2=C(C=C1C)C(C1=CC=CC=C1C(=O)OCC)=C1C=C(C)\C(C=C1O2)=N\CC,1304,91.8,% 
O=C(CCCCCCCCC1=CN=CC=C1)N1CCC(CC1)C=C(C1=CC=CC=C1)C1=CC=CC=C1,1305,-38.3,% 
CN1C(COC(N)=O)=NC=C1[N+]([O-])=O,1306,9.7,% 
CC(C)NC1=NC(Cl)=NC(N)=N1,1308,15.8,% 
OC(=O)C1=C(O)C=CC=C1,1312,55.9,% 
Cl.CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,1313,61.4,% 
Cl.CC1=NC(=NO1)C1=CC2=C(CCN(CCC3CCC(CC3)NC(=O)\C=C\C3=CC=C(F)C=C3)CC2)C=C1,1314,-24,% 
CCC\C(=N/OCC)C1=C(O)CC(CC(C)SCC)CC1=O,1315,55.5,% 
[Na+].[O-]N1C=CC=CC1=S,1318,3.5,% 
[Na+].CC(C)COC(=O)CC(C(=O)OCC(C)C)S([O-])(=O)=O,1320,66.3,% 
[Na+].[S-]C1=NC2=CC=CC=C2S1,1322,96.3,% 
[Na+].CC1=CC=CC=C1S([O-])(=O)=O,1323,10.8,% 
[Na+].CC1=CC=C(C)C(=C1)S([O-])(=O)=O,1326,34.7,% 
[Na+].CC1=CC=C(C=C1)S([O-])(=O)=O,1327,16.6,% 
[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O,1329,101.3,% 
[Na+].[N-]=[N+]=[N-],1330,6.3,% 
[Na+].[O-][Cl]=O,1331,6,% 
[Na+].[O-]C(=O)CCl,1332,9.3,% 
[Na+].CCCCCCCCCCOS([O-])(=O)=O,1333,98.9,% 
[Na+].C\C([O-])=C1\C(=O)OC(C)=CC1=O,1334,41.7,% 
[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl,1335,13.8,% 
O.O.[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl,1336,15.9,% 
[Na+].CN(C)C([S-])=S,1337,50.3,% 
[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,1338,102.3,% 
[Na+].CCCCCCCCCCCCC1=CC=CC=C1S([O-])(=O)=O,1339,102.5,% 
[Na+].CCCCC(CC)COS([O-])(=O)=O,1340,81.3,% 
[Na+].[O-]C(=O)CF,1341,8.1,% 
[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O,1342,78,% 
[Na+].[I-],1343,9.5,% 
[Na+].CC1=CC=C(C(C)=C1)S([O-])(=O)=O,1344,27.8,% 
[Na+].CC(=C)C([O-])=O,1345,2.4,% 
[Na+].COS([O-])(=O)=O,1346,11.3,% 
[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O,1347,98.8,% 
[Na+].F[B-](F)(F)F,1352,8.5,% 
[Na+].[O-]C(=O)C(Cl)(Cl)Cl,1353,0.3,% 
[Na+].CCCCCCCCCCCCCOS([O-])(=O)=O,1354,104.5,% 
[Na+].CC1=C(C)C=C(C=C1)S([O-])(=O)=O,1356,19.4,% 
CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)C1=CC=C(Cl)C=C1Cl,1358,42.6,% 
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)C2CC[C@@]3(C)C(CC[C@@]33CCC(=O)O3)C12,1360,-5.9,% 
CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,1361,16.4,% 
Cl.FC(F)(F)C1=C(Cl)C(C(=O)NC(C2CN3CCC2CC3)C2=CC=CC=C2)=C(Cl)C=C1,1362,-45,% 
FC(F)(F)C1=CC=CC(C(=O)N[C@H]([C@@H]2CCCCN2)C2=CC=CC=C2)=C1Cl,1365,4.4,% 
COC1=CC2=C(C(=O)N(COC3=CC(=O)N4C=CC=C(OCCN5CCCCC5)C4=N3)S2(=O)=O)C(=C1)C(C)C,1366,22,% 
OCC(O)C1=CC=CC=C1,1368,8.5,% 
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1370,8.1,% 
NS(O)(=O)=O,1372,47.5,% 
OC(=O)CC(C(O)=O)S(O)(=O)=O,1375,5.8,% 
COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O,1376,81.2,% 
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,1378,27.1,% 
OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,1379,94,% 
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,1380,25.5,% 
CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,1381,24.5,% 
COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1,1385,101.6,% 
CCC(=NOC\C=C\Cl)C1=C(O)CC(CC1=O)C1CCOCC1,1386,12.4,% 
CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,1387,14.6,% 
CCOP(=S)(OCC)SCSC(C)(C)C,1388,75.3,% 
CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1,1389,61,% 
CC1=CCC(CC1)C(C)(C)O,1391,3.6,% 
CC(C)=C1CCC(C)=CC1,1392,19,% 
CCC(=O)OC(C)(C)C1CCC(C)=CC1,1393,11.6,% 
CC(=O)OC(C)(C)C,1394,-0.7,% 
CC(C)(C)OOC(=O)C1=CC=CC=C1,1395,21.4,% 
CC(C)(C)N,1397,9.9,% 
CC(C)(C)C1=CC=CC=C1,1398,-1.2,% 
CCCCCCC(C)(C)S,1400,11.2,% 
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1401,31.3,% 
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,1402,105,% 
FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,1404,72.3,% 
CCN(CC)C(=S)SSC(=S)N(CC)CC,1407,55.2,% 
OCC1CCCO1,1408,7.8,% 
C1CCC2=C(C1)C=CC=C2,1409,8.9,% 
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1410,28.1,% 
CCCO[Si](OCCC)(OCCC)OCCC,1411,10.3,% 
O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12,1412,-9,% 
CN1C2=C(NC=N2)C(=O)N(C)C1=O,1413,9.4,% 
N1C2=C(C=CC=C2)N=C1C1=CSC=N1,1414,21.8,% 
CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O,1416,1,% 
COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F,1417,26.2,% 
O=C(NC1=CN=NS1)NC1=CC=CC=C1,1418,46.3,% 
CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1,1420,40.6,% 
NNC(=S)NN,1421,34.1,% 
CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1422,67.1,% 
CCOC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OCC)C=CC=C1,1424,36.9,% 
COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1,1425,48.3,% 
CC1=C(OCCCC(O)=O)C=CC(Cl)=C1,1427,99.3,% 
CC(C)C1=CC=C(C)C=C1O,1428,59.3,% 
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,1429,105,% 
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,1430,12.8,% 
CC1=CC=CC2=NNN=C12,1431,44.2,% 
CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C,1432,29.1,% 
CN1NC=C(C(=O)C2=C(C)C(C3=NOCC3)=C(C=C2)S(C)(=O)=O)C1=O,1433,7.5,% 
NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2,1435,-4.2,% 
CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC,1437,3.3,% 
CC(=O)OCC(COC(C)=O)OC(C)=O,1438,4.2,% 
CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,1439,4.7,% 
CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,1440,10.4,% 
C[C@]12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=C[C@]34C)C1C[C@@H](O)[C@]2(O)C(=O)CO,1442,2,% 
